WEAPON SOURCE COUNTRY,WEAPON DEPLOYMENT LOCATION,Source,Latitude,Longitude,Data.Magnitude.Body,Data.Magnitude.Surface,Depth,Lower_Yield,Upper_Yield,Purpose,Name,Type,Date.Day,Date.Month,Date.Year,Date,Count
USA,Alamogordo,DOE,32.54,-105.57,0,0,-0.1,21,21,Wr,Trinity,Tower,16,7,1945,16/07/1945,1
USA,Hiroshima,DOE,34.23,132.27,0,0,-0.6,15,15,Combat,Littleboy,Airdrop,5,8,1945,5/08/1945,2
USA,Nagasaki,DOE,32.45,129.52,0,0,-0.6,21,21,Combat,Fatman,Airdrop,9,8,1945,9/08/1945,3
USA,Bikini,DOE,11.35,165.2,0,0,-0.2,21,21,We,Able,Airdrop,30,6,1946,30/06/1946,4
USA,Bikini,DOE,11.35,165.2,0,0,0.03,21,21,We,Baker,Uw,24,7,1946,24/07/1946,5
USA,Enewetak,DOE,11.3,162.15,0,0,-0.08,37,37,Wr,X-Ray,Tower,14,4,1948,14/04/1948,6
USA,Enewetak,DOE,11.3,162.15,0,0,-0.08,49,49,Wr,Yoke,Tower,30,4,1948,30/04/1948,7
USA,Enewetak,DOE,11.3,162.15,0,0,-0.08,18,18,Wr,Zebra,Tower,14,5,1948,14/05/1948,8
USSR,Semi Kazakh,DOE,48,76,0,0,0,22,22,Wr,Nan,Surface,29,8,1949,29/08/1949,9
USA,Nts,DOE,37,-116,0,0,-0.35,1,1,Wr,Able,Airdrop,27,1,1951,27/01/1951,10
USA,Nts,DOE,37,-116,0,0,-0.35,8,8,Wr,Baker,Airdrop,28,1,1951,28/01/1951,11
USA,Nts,DOE,37,-116,0,0,-0.35,1,1,Wr,Easy,Airdrop,1,2,1951,1/02/1951,12
USA,Nts,DOE,37,-116,0,0,-0.4,8,8,Wr,Baker2,Airdrop,2,2,1951,2/02/1951,13
USA,Nts,DOE,37,-116,0,0,-0.5,22,22,Wr,Fox,Airdrop,6,2,1951,6/02/1951,14
USA,Enewetak,DOE,11.3,162.15,0,0,-0.1,81,81,Wr,Dog,Tower,7,4,1951,7/04/1951,15
USA,Enewetak,DOE,11.3,162.15,0,0,-0.1,47,47,Wr,Easy,Tower,20,4,1951,20/04/1951,16
USA,Enewetak,DOE,11.3,162.15,0,0,-0.07,225,225,Wr,George,Tower,8,5,1951,8/05/1951,17
